movie_id,movie_name,year,rating,votes,genre
tt0097742,Licence to Kill,1989,6.6,106862.0,thriller
tt0097756,Listen to Me,1989,5.2,1268.0,romance
tt0097757,The Little Mermaid,1989,7.6,268130.0,adventure
tt0097757,The Little Mermaid,1989,7.6,268130.0,animation
tt0097757,The Little Mermaid,1989,7.6,268130.0,family
tt0097757,The Little Mermaid,1989,7.6,268130.0,fantasy
tt0097757,The Little Mermaid,1989,7.6,268130.0,romance
tt0097758,Little Monsters,1989,6.0,13505.0,adventure
tt0097758,Little Monsters,1989,6.0,13505.0,family
tt0097758,Little Monsters,1989,6.0,13505.0,fantasy
tt0097770,Lock Up,1989,6.4,44157.0,action
tt0097770,Lock Up,1989,6.4,44157.0,crime
tt0097770,Lock Up,1989,6.4,44157.0,thriller
tt0097775,The Master,1992,5.7,2869.0,action
tt0097775,The Master,1992,5.7,2869.0,crime
tt0097781,Lords of the Deep,1989,2.6,1249.0,scifi
tt0097781,Lords of the Deep,1989,2.6,1249.0,thriller
tt0097814,Kiki's Delivery Service,1989,7.8,148996.0,animation
tt0097814,Kiki's Delivery Service,1989,7.8,148996.0,family
tt0097814,Kiki's Delivery Service,1989,7.8,148996.0,fantasy
tt0097815,Major League,1989,7.2,71428.0,sports
tt0097841,Marrakech Express,1989,7.3,2329.0,adventure
tt0097851,Mathilukal,1990,8.3,1541.0,romance
tt0097870,Forever Mary,1989,7.3,1138.0,crime
tt0097872,My Nights Are More Beautiful Than Your Days,1989,6.1,2037.0,romance
tt0097880,The Mighty Quinn,1989,6.0,5949.0,action
tt0097880,The Mighty Quinn,1989,6.0,5949.0,crime
tt0097880,The Mighty Quinn,1989,6.0,5949.0,mystery
tt0097880,The Mighty Quinn,1989,6.0,5949.0,thriller
tt0097883,Millennium,1989,5.7,6574.0,scifi
tt0097883,Millennium,1989,5.7,6574.0,thriller
tt0097884,May Fools,1990,7.2,3263.0,romance
tt0097889,Miracle Mile,1988,7.0,11260.0,action
tt0097889,Miracle Mile,1988,7.0,11260.0,romance
tt0097889,Miracle Mile,1988,7.0,11260.0,thriller
